feature_duration_total	feature_duration_up	feature_duration_hold	feature_duration_down	feature_velocity_avg_up	feature_velocity_avg_down	feature_velocity_var_up	feature_velocity_var_down	feature_velocity_max_up	feature_velocity_max_down	feature_displace_vertical_up	feature_displace_vertical_down	feature_displace_horizontal_up	feature_displace_horizontal_down	feature_displace_spatial_up	feature_displace_spatial_down	feature_rollVec_middle_up	feature_rollVec_middle_down	feature_rollVec_max_up	feature_rollVec_max_down	feature_rollChange_net_up	feature_rollChange_net_down	feature_pitch_peak_up	feature_pitch_peak_down	feature_pitch_up_1	feature_pitch_up_2	feature_pitch_up_3	feature_pitch_up_4	feature_pitch_up_5	feature_pitch_up_6	feature_pitch_up_7	feature_pitch_up_8	feature_pitch_up_9	feature_pitch_middle_down	motion_label
4310	1562	1769	979	2.0758	2.7059	5.2635	1.7537	9.0183	4.6379	1.7407	-1.7362	0.8495	0.83689	1.937	1.9274	0.87704	-2.0528	4.6142	-0.052463	2.3224	-2.4529	-0.1963	-0.43613	-0.059578	-0.11916	-0.17873	-0.23831	-0.29789	-0.35747	-0.41705	-0.47662	-0.5362	0.504	2
4300	1553	1218	1529	2.3377	1.8784	14.055	3.3584	15.009	6.5291	1.732	-1.8103	0.91802	0.74045	1.9603	1.9559	0.38277	-0.72726	7.3254	-0.10771	2.4347	-2.7374	-0.38999	-0.52027	-0.07891	-0.15782	-0.23673	-0.31564	-0.39455	-0.47346	-0.55237	-0.63128	-0.71019	0.2617	2
5420	1555	2305	1560	1.5578	1.7451	1.0467	2.1041	3.5266	5.1065	1.6433	-1.8213	0.91092	0.70867	1.8789	1.9543	1.1759	-0.69133	3.0839	-0.080313	2.1232	-2.6442	0.19064	-0.42165	-0.0068392	-0.013678	-0.020517	-0.027357	-0.034196	-0.041035	-0.047874	-0.054713	-0.061552	0.32432	2
4841	1534	2325	982	1.6829	2.5145	2.5111	4.0212	5.8181	5.42	1.6738	-1.8003	0.88285	0.431	1.8924	1.8512	0.92818	-1.5533	3.6159	-0.081704	2.1483	-2.3859	0.088299	-0.052203	-0.01674	-0.033479	-0.050219	-0.066959	-0.083698	-0.10044	-0.11718	-0.13392	-0.15066	0.39704	2
4247	1529	1746	972	1.5206	1.8797	1.362	0.68252	3.7669	3.316	1.6674	-1.5034	0.41509	0.60718	1.7183	1.6213	-0.90032	0.16235	44.802	1.0253	2.5286	-2.6292	0.546	0.76917	0.0099675	0.019935	0.029902	0.03987	0.049837	0.059805	0.069772	0.07974	0.089707	0.92786	1
5430	1547	2363	1520	1.3682	1.4642	0.33181	0.87438	2.2818	3.0338	1.6453	-1.7414	0.65126	0.46218	1.7695	1.8017	-1.1192	0.03139	51.748	0.77882	2.7281	-2.8137	0.61131	0.58123	0.010226	0.020453	0.030679	0.040905	0.051131	0.061358	0.071584	0.08181	0.092037	0.66686	1
5569	1543	2352	1674	1.5695	1.5766	0.78824	2.2783	3.1033	4.7272	1.7857	-1.8057	0.59859	0.44228	1.8833	1.8591	0.26842	-0.23997	13.653	0.57897	2.5577	-2.6747	0.3496	0.43302	-0.0016222	-0.0032444	-0.0048666	-0.0064887	-0.0081109	-0.0097331	-0.011355	-0.012977	-0.0146	0.5164	1
4309	1546	1223	1540	1.4075	1.2439	0.47637	0.25168	2.3832	2.0868	1.6112	-1.4147	0.74446	0.53989	1.7749	1.5142	-0.76531	-1.4311	45.094	0.61052	2.4168	-2.692	0.68219	0.99016	0.037159	0.074317	0.11148	0.14863	0.18579	0.22295	0.26011	0.29727	0.33443	1.0633	1
4836	1530	1790	1516	1.3906	1.3281	0.43821	0.39694	2.3744	2.1036	1.5137	-1.4577	0.96048	0.90195	1.7927	1.7142	-1.0974	0.98174	49.576	7.2151	2.5167	-2.5392	0.85454	0.80689	0.048313	0.096626	0.14494	0.19325	0.24156	0.28988	0.33819	0.3865	0.43481	0.89676	1
8316	1569	5182	1565	1.2872	1.1403	0.3526	0.098457	2.3087	1.514	1.5073	-1.4961	0.75926	0.17316	1.6877	1.5061	0.94846	-1.213	2.9436	-0.33211	2.017	-2.1444	-0.01885	0.47116	-0.064634	-0.12927	-0.1939	-0.25854	-0.32317	-0.38781	-0.45244	-0.51707	-0.58171	0.85419	2
6471	968	3997	1506	1.6782	1.7131	0.71601	1.7166	2.8651	4.6331	0.9475	-1.3372	1.2101	0.88868	1.5369	1.6056	1.0884	-0.76157	2.2044	-0.3148	1.2421	-1.8772	-0.30168	-0.33093	-0.12153	-0.24307	-0.3646	-0.48613	-0.60767	-0.7292	-0.85073	-0.97227	-1.0938	0.67897	2
